prefecture,city,number,address,name,lat,long,note
神奈川県,鎌倉市,1,十二所114番地,masked,35.3218603,139.5800409,緯度経度は怪しい
神奈川県,鎌倉市,2,十二所98番地1,masked,35.31989130000001,139.5799112,
神奈川県,鎌倉市,3,浄明寺六丁目2番,浄明寺六丁目7番9号脇緑地,35.3164438,139.5765431,
神奈川県,鎌倉市,4,十二所967番地,十二所公園フェンス,35.3163116,139.5780032,
神奈川県,鎌倉市,5,浄明寺六丁目18番,（仮称）浄明寺緑地前（浄明寺六丁目16番付近）,35.3136922,139.568264,
神奈川県,鎌倉市,6,浄明寺六丁目2番,（仮称）浄明寺緑地前[ハイランド坂下バス停前緑地],35.3164438,139.5765431,
神奈川県,鎌倉市,7,十二所943番地1,二ツ橋児童遊園フェンス,35.31944,139.5771361,
神奈川県,鎌倉市,8,二階堂792番地4,資材置場塀,35.3254193,139.5689307,
神奈川県,鎌倉市,9,二階堂878番地,第二小学校フェンス,35.3236629,139.5655039,
神奈川県,鎌倉市,10,二階堂878番地,第二小学校体育館前植込み,35.3236629,139.5655039,
神奈川県,鎌倉市,11,二階堂115番地,masked,35.3254728,139.5668441,
神奈川県,鎌倉市,12,二階堂321番地1,大塔宮バス停付近横断防止柵,35.3297193,139.5712889,緯度経度は怪しい
神奈川県,鎌倉市,13,浄明寺二丁目572-3地内,犬懸橋南滑川転落防止柵,35.3180229,139.5693784,
神奈川県,鎌倉市,14,二階堂257番地5,二階堂2号緑地,35.3305939,139.5676073,緯度経度は怪しい
神奈川県,鎌倉市,15,西御門一丁目8番,国大附属中西御門運動場前植込み,35.3276198,139.5599861,
神奈川県,鎌倉市,16,雪ノ下三丁目11番45号,清泉小学校北側倉庫前フェンス,35.3248514,139.561502,
神奈川県,鎌倉市,17,雪ノ下三丁目5番10号,masked,35.3243984,139.5581486,
神奈川県,鎌倉市,18,雪ノ下三丁目5番10号,国大附属小学校フェンス,35.3243984,139.5581486,
神奈川県,鎌倉市,19,雪ノ下三丁目5番10号,国大附属小学校石垣,35.3243984,139.5581486,
神奈川県,鎌倉市,20,雪ノ下二丁目2番12号,川喜多映画記念館,35.3242756,139.5524631,
神奈川県,鎌倉市,21,雪ノ下三丁目10番3号,清泉小学校ラファエラ広場フェンス,35.3236486,139.5612396,
神奈川県,鎌倉市,22,小町二丁目14番4号,カトリック雪ノ下教会フェンス,35.3206231,139.5536104,
神奈川県,鎌倉市,23,小町一丁目8番4号,小町サイクルパークフェンス,35.3192137,139.5525028,
神奈川県,鎌倉市,24,小町二丁目4番,JR柵,35.3222063,139.5509931,
神奈川県,鎌倉市,25,小町一丁目10番3号,鎌倉郵便局南側フェンス,35.3181385,139.5519458,
神奈川県,鎌倉市,26,小町二丁目23番12号,masked,35.3191524,139.5541159,
神奈川県,鎌倉市,27,小町一丁目12番7号,本覚寺塀,35.3174426,139.5531056,
神奈川県,鎌倉市,28,小町一丁目13番,本覚寺駐車場前転落防止柵,35.3173902,139.5517093,
神奈川県,鎌倉市,29,大町四丁目4-18,安国論寺横転落防止柵,35.3117158,139.5585578,
神奈川県,鎌倉市,30,大町二丁目5番,JRフェンス,35.3126943,139.5536192,
神奈川県,鎌倉市,31,大町五丁目14番6号,大町ふれあい広場フェンス,35.3101123,139.5613004,
神奈川県,鎌倉市,32,大町三丁目1番22号,安養院石垣,35.3141785,139.5552939,
神奈川県,鎌倉市,33,大町四丁目8番,逆川転落防止柵,35.3138478,139.5593493,
神奈川県,鎌倉市,34,大町三丁目19番,花咲橋転落防止柵 (位置情報が見つかりませんでした),35.3148577,139.5619957,
神奈川県,鎌倉市,35,大町五丁目11番16号,名越クリーンセンターフェンス,35.3079732,139.5613636,
